cid	canonicalsmiles
8683710	CCNC(=O)CN(CC)CC(=O)NC1=CC=C(C=C1)C(=O)NC
8543955	C1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=CN2
8545244	COC1=CC=C(C=C1)CNC(=O)COC(=O)C2=CC=CN2
2758598	CC1=CC(=CC(=C1)NC(C2=CC=CS2)C(=O)O)C
9433311	CCNC(=O)CN(CC)CC(=O)NC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC
23860089	COC1=CC=CC=C1C(=O)COC(=O)C2=CC(=CC=C2)N
23943599	CC1=CN=C(C=C1)NC(=O)COC(=O)C2=CC=C(C=C2)N
24109407	C1=CC(=CN=C1)NC(=O)COC(=O)C2=CC=C(C=C2)N
22309397	C1=CC=C(C=C1)COC(=O)NC(CC(=O)O)C2=CN=CC=C2
27711394	C1=CC=C(C=C1)COC(=O)CNC(=O)C2=COC=C2
26163485	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CC2=CC=CC=C2C
26506502	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC3=CC=CC=C3C=C2
26526271	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC=CC=C2C(=O)NCC3=CC=CO3
11821104	C1=CC=C(C=C1)COC(=O)C2C(N2)C3=CC=CC=C3
13292542	C1=CC=C(C=C1)C(C(=O)C2=CN=CC=C2)N
30490734	CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)CCNC(=O)C2=CSC=C2
30885583	COC(=O)CCNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)Cl
32414971	CNC(=O)CNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)F
34543056	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=CC=C2
19070296	C1=CC(=CC2=C1C=CN2)NCCO
18122874	C1=CC=C(C=C1)C(=O)COC(=O)C2=CC(=CN2)Cl
17462696	C1=CC=C(C=C1)C(=O)COC(=O)C2=CC(=CN2)Br
73116783	C1=CC=C(C=C1)COC(=O)C2C(N2)C3=CC=CC=C3
61303511	COC1=CC=C(C=C1)COC(=O)C2CCCCN2
70083655	C1=CC=C(C=C1)COC(=O)CC(N)Br
70170584	C1=CC=C(C=C1)COC(=O)CC(N)Cl
69821227	C1=CC=C(C=C1)COC(=O)CC(N)O
64525466	C1=CC=C(C=C1)C(CO)NC(=O)C2=CC(=NN2)N
62877793	COC1=CC=C(C=C1)COC(=O)C(CN)C2=CC=CC=C2
60547341	CCOC(=O)CNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)Br
60635911	CCN(CC)C(=O)CNC(=O)C1=CC=C(C=C1)C
60717524	COC1=CC=C(C=C1)COC(=O)C2CCCN2
62404901	CCNC(=O)CN(CC)C(=O)CC1=CC=C(C=C1)C#N
61952588	COC(=O)C(COC1=CC=CC(=C1)CO)N
66911690	CCOC(=O)CCNNC1=CC=C(C=C1)C
66264080	COC1=CC=C(C=C1)COC(=O)C2CCCCN2
65478969	CCNC(=O)CN(CC)CC1=CC=C(C=C1)I
66171698	CC(C(=O)O)NC1=CC2=C(C=C1)NN=C2
67264849	C1=CC=C(C=C1)COC(=O)C(CCBr)N
69297585	COC(=O)C(CC1=CC=C(C=C1)CO)N
70549071	C1=CC=C(C=C1)COC(=O)C(CN)CO
70640314	COC(=O)C(CC1=CC=C(C=C1)CO)N
70038860	COC(=O)C(CC1=CC=C(C=C1)C2=CC=NN2)N
71594631	CCN(CC)C1=CC=C(C=C1)C(=O)NC(=O)C2=CC=CC=C2
72942427	C1=CC=C(C=C1)COC(=O)NC(CC=O)C2=CC=CC=C2
73117252	C1=CC=C(C=C1)COC(=O)NC(CO)C2=CC=CC=C2F
71669939	COC1=CC=C(C=C1)C(=O)COC(=O)C2=CC(=CC=C2)N
61303307	COC1=CC=C(C=C1)COC(=O)C(CC2=CN=CN2)N
61304305	COC1=CC=C(C=C1)COC(=O)C(CC2=CN=CN2)N
61278408	C1=CC=C(C=C1)COC(=O)C(CCS)N
64523087	C1=CC=C(C=C1)CN(CCO)C(=O)C2=CC(=NN2)N
64524470	C1=CC=C(C=C1)CC(CO)NC(=O)C2=CC(=NN2)N
60847828	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CN
60850848	C1CCN(CC1)C2=CC=C(C=C2)NC(=O)CNC(=O)CN
60811597	CCOC(=O)CNCC1=CC=C(C=C1)C2=CC=CC=C2
93507321	CCOC(=O)C(CN)C1=CC=C(C=C1)C
93507322	CCOC(=O)C(CN)C1=CC=C(C=C1)C
90000940	C1=CC=C(C=C1)COC(=O)C(=O)CCN
84266147	CC(C)(CO)NC(=O)CCNC1=C2C(=CSC2=NC=N1)C3=CC=C(C=C3)F
84377050	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CCC2CCCCC2
84378620	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CC2CCCCC2
